,,Non-donation,Donation,Statistics
Car - the price of the car you own,3700.0,248 (86.41%),39 (13.59%),
Car - the price of the car you own,3720.0,11 (84.62%),2 (15.38%),
Car - the price of the car you own,3740.0,11 (84.62%),2 (15.38%),
Car - the price of the car you own,3750.0,25 (89.29%),3 (10.71%),
Car - the price of the car you own,3760.0,2 (66.67%),1 (33.33%),
Car - the price of the car you own,3790.0,2 (66.67%),1 (33.33%),
Car - the price of the car you own,3800.0,273 (86.12%),44 (13.88%),
Car - the price of the car you own,3820.0,9 (69.23%),4 (30.77%),
Car - the price of the car you own,3850.0,23 (65.71%),12 (34.29%),
Car - the price of the car you own,3860.0,3 (75.00%),1 (25.00%),
Car - the price of the car you own,3875.0,2 (66.67%),1 (33.33%),
Car - the price of the car you own,3890.0,7 (87.50%),1 (12.50%),
Car - the price of the car you own,3900.0,120 (82.76%),25 (17.24%),
Car - the price of the car you own,3930.0,6 (85.71%),1 (14.29%),
Car - the price of the car you own,3938.0,2 (50.00%),2 (50.00%),
Car - the price of the car you own,3950.0,22 (84.62%),4 (15.38%),
Car - the price of the car you own,4000.0,679 (89.58%),79 (10.42%),
Car - the price of the car you own,4050.0,38 (90.48%),4 (9.52%),
Car - the price of the car you own,4070.0,3 (75.00%),1 (25.00%),
Car - the price of the car you own,4080.0,8 (88.89%),1 (11.11%),
Car - the price of the car you own,4100.0,113 (85.61%),19 (14.39%),
Car - the price of the car you own,4150.0,24 (82.76%),5 (17.24%),
Car - the price of the car you own,4160.0,3 (75.00%),1 (25.00%),
Car - the price of the car you own,4200.0,137 (88.39%),18 (11.61%),
Car - the price of the car you own,4210.0,2 (66.67%),1 (33.33%),
Car - the price of the car you own,4250.0,32 (94.12%),2 (5.88%),
Car - the price of the car you own,4280.0,7 (87.50%),1 (12.50%),
Car - the price of the car you own,4300.0,126 (90.00%),14 (10.00%),
Car - the price of the car you own,4330.0,5 (83.33%),1 (16.67%),
Car - the price of the car you own,4350.0,14 (87.50%),2 (12.50%),
Car - the price of the car you own,4370.0,5 (71.43%),2 (28.57%),
Car - the price of the car you own,4400.0,57 (90.48%),6 (9.52%),
Car - the price of the car you own,4430.0,3 (75.00%),1 (25.00%),
Car - the price of the car you own,4450.0,12 (85.71%),2 (14.29%),
Car - the price of the car you own,4460.0,4 (80.00%),1 (20.00%),
Car - the price of the car you own,4500.0,381 (86.99%),57 (13.01%),
Car - the price of the car you own,4550.0,32 (94.12%),2 (5.88%),
Car - the price of the car you own,4600.0,74 (87.06%),11 (12.94%),
Car - the price of the car you own,4640.0,1 (50.00%),1 (50.00%),
Car - the price of the car you own,4650.0,11 (84.62%),2 (15.38%),
Car - the price of the car you own,4700.0,121 (88.32%),16 (11.68%),
Car - the price of the car you own,4710.0,4 (80.00%),1 (20.00%),
Car - the price of the car you own,4730.0,2 (66.67%),1 (33.33%),
Car - the price of the car you own,4790.0,6 (85.71%),1 (14.29%),
Car - the price of the car you own,4800.0,156 (91.76%),14 (8.24%),
Car - the price of the car you own,4900.0,81 (91.01%),8 (8.99%),
Car - the price of the car you own,4950.0,18 (85.71%),3 (14.29%),
Car - the price of the car you own,5000.0,304 (85.39%),52 (14.61%),
Car - the price of the car you own,5020.0,4 (80.00%),1 (20.00%),
Car - the price of the car you own,5100.0,29 (76.32%),9 (23.68%),
Car - the price of the car you own,5130.0,1 (33.33%),2 (66.67%),
Car - the price of the car you own,5150.0,17 (89.47%),2 (10.53%),
Car - the price of the car you own,5200.0,62 (88.57%),8 (11.43%),
Car - the price of the car you own,5220.0,5 (62.50%),3 (37.50%),
Car - the price of the car you own,5280.0,5 (71.43%),2 (28.57%),
Car - the price of the car you own,5300.0,71 (87.65%),10 (12.35%),
Car - the price of the car you own,5340.0,3 (75.00%),1 (25.00%),
Car - the price of the car you own,5390.0,3 (75.00%),1 (25.00%),
Car - the price of the car you own,5400.0,44 (91.67%),4 (8.33%),
Car - the price of the car you own,5470.0,1 (33.33%),2 (66.67%),
Car - the price of the car you own,5500.0,170 (86.73%),26 (13.27%),
Car - the price of the car you own,5600.0,58 (92.06%),5 (7.94%),
Car - the price of the car you own,5700.0,37 (88.10%),5 (11.90%),
Car - the price of the car you own,5800.0,45 (90.00%),5 (10.00%),
Car - the price of the car you own,5900.0,31 (75.61%),10 (24.39%),
Car - the price of the car you own,5950.0,7 (77.78%),2 (22.22%),
Car - the price of the car you own,5960.0,2 (66.67%),1 (33.33%),
Car - the price of the car you own,5990.0,4 (80.00%),1 (20.00%),
Car - the price of the car you own,6000.0,152 (82.61%),32 (17.39%),
Car - the price of the car you own,6030.0,5 (71.43%),2 (28.57%),
Car - the price of the car you own,6050.0,4 (66.67%),2 (33.33%),
Car - the price of the car you own,6100.0,10 (58.82%),7 (41.18%),
Car - the price of the car you own,6180.0,3 (75.00%),1 (25.00%),
Car - the price of the car you own,6200.0,12 (75.00%),4 (25.00%),
Car - the price of the car you own,6250.0,7 (77.78%),2 (22.22%),
Car - the price of the car you own,6300.0,31 (93.94%),2 (6.06%),
Car - the price of the car you own,6400.0,8 (72.73%),3 (27.27%),
Car - the price of the car you own,6500.0,54 (91.53%),5 (8.47%),
Car - the price of the car you own,6530.0,3 (75.00%),1 (25.00%),
Car - the price of the car you own,6600.0,17 (73.91%),6 (26.09%),
Car - the price of the car you own,6650.0,7 (87.50%),1 (12.50%),
Car - the price of the car you own,6700.0,43 (89.58%),5 (10.42%),
Car - the price of the car you own,6750.0,7 (87.50%),1 (12.50%),
Car - the price of the car you own,6800.0,15 (83.33%),3 (16.67%),
Car - the price of the car you own,6900.0,12 (92.31%),1 (7.69%),
Car - the price of the car you own,7000.0,99 (90.83%),10 (9.17%),
Car - the price of the car you own,7080.0,1 (33.33%),2 (66.67%),
Car - the price of the car you own,7100.0,24 (82.76%),5 (17.24%),
Car - the price of the car you own,7150.0,7 (87.50%),1 (12.50%),
Car - the price of the car you own,7200.0,18 (81.82%),4 (18.18%),
Car - the price of the car you own,7300.0,6 (75.00%),2 (25.00%),
Car - the price of the car you own,7500.0,24 (77.42%),7 (22.58%),
Car - the price of the car you own,7700.0,8 (88.89%),1 (11.11%),
Car - the price of the car you own,7790.0,4 (80.00%),1 (20.00%),
Car - the price of the car you own,7800.0,24 (92.31%),2 (7.69%),
Car - the price of the car you own,7850.0,5 (71.43%),2 (28.57%),
Car - the price of the car you own,7900.0,10 (76.92%),3 (23.08%),
Car - the price of the car you own,8000.0,49 (85.96%),8 (14.04%),
Car - the price of the car you own,8050.0,1 (50.00%),1 (50.00%),
Car - the price of the car you own,8100.0,2 (66.67%),1 (33.33%),
Car - the price of the car you own,8200.0,14 (87.50%),2 (12.50%),
Car - the price of the car you own,8220.0,1 (50.00%),1 (50.00%),
Car - the price of the car you own,8300.0,3 (75.00%),1 (25.00%),
Car - the price of the car you own,8400.0,2 (66.67%),1 (33.33%),
Car - the price of the car you own,8500.0,29 (90.62%),3 (9.38%),
Car - the price of the car you own,8700.0,2 (50.00%),2 (50.00%),
Car - the price of the car you own,8800.0,12 (85.71%),2 (14.29%),
Car - the price of the car you own,9000.0,28 (87.50%),4 (12.50%),
Car - the price of the car you own,9300.0,3 (75.00%),1 (25.00%),
Car - the price of the car you own,9450.0,5 (83.33%),1 (16.67%),
Car - the price of the car you own,9800.0,7 (87.50%),1 (12.50%),
Car - the price of the car you own,9900.0,5 (83.33%),1 (16.67%),
Car - the price of the car you own,10000.0,20 (86.96%),3 (13.04%),
Car - the price of the car you own,10100.0,6 (75.00%),2 (25.00%),
Car - the price of the car you own,10400.0,2 (66.67%),1 (33.33%),
Car - the price of the car you own,10440.0,3 (75.00%),1 (25.00%),
Car - the price of the car you own,10700.0,5 (71.43%),2 (28.57%),
Car - the price of the car you own,10780.0,2 (50.00%),2 (50.00%),
Car - the price of the car you own,11000.0,13 (81.25%),3 (18.75%),
Car - the price of the car you own,11200.0,1 (50.00%),1 (50.00%),
Car - the price of the car you own,11500.0,1 (50.00%),1 (50.00%),
Car - the price of the car you own,12000.0,2 (66.67%),1 (33.33%),
Car - the price of the car you own,13000.0,11 (91.67%),1 (8.33%),
Car - the price of the car you own,14500.0,5 (62.50%),3 (37.50%),
Car - the price of the car you own,15000.0,2 (66.67%),1 (33.33%),
Car - the price of the car you own,20000.0,7 (87.50%),1 (12.50%),
Car - the price of the car you own,21000.0,10 (90.91%),1 (9.09%),
Car - the price of the car you own,24272.0,2 (50.00%),2 (50.00%),
Car - the price of the car you own,30000.0,3 (75.00%),1 (25.00%),
Car - the price of the car you own,45000.0,7 (87.50%),1 (12.50%),
Car - the price of the car you own,9999999.0,296 (95.18%),15 (4.82%),
Car - the price of the car you own,10000000.0,12197 (96.50%),443 (3.50%),
Price of a house,0.0,3842 (96.29%),148 (3.71%),"$\chi^2$=5813.88, $p$=0.00"
Price of a house,30.0,96 (97.96%),2 (2.04%),
Price of a house,50.0,476 (98.14%),9 (1.86%),
Price of a house,60.0,339 (88.74%),43 (11.26%),
Price of a house,70.0,27 (96.43%),1 (3.57%),
Price of a house,80.0,27 (93.10%),2 (6.90%),
Price of a house,90.0,49 (90.74%),5 (9.26%),
Price of a house,100.0,1618 (98.06%),32 (1.94%),
Price of a house,104.0,16 (94.12%),1 (5.88%),
Price of a house,110.0,19 (90.48%),2 (9.52%),
Price of a house,120.0,59 (95.16%),3 (4.84%),
Price of a house,130.0,65 (97.01%),2 (2.99%),
Price of a house,133.0,3 (75.00%),1 (25.00%),
Price of a house,144.0,7 (87.50%),1 (12.50%),
Price of a house,145.0,18 (94.74%),1 (5.26%),
Price of a house,147.0,20 (95.24%),1 (4.76%),
Price of a house,150.0,346 (97.74%),8 (2.26%),
Price of a house,154.0,43 (93.48%),3 (6.52%),
Price of a house,160.0,81 (97.59%),2 (2.41%),
Price of a house,170.0,90 (98.90%),1 (1.10%),
Price of a house,180.0,159 (99.38%),1 (0.62%),
Price of a house,190.0,86 (98.85%),1 (1.15%),
Price of a house,195.0,57 (96.61%),2 (3.39%),
Price of a house,196.0,76 (98.70%),1 (1.30%),
Price of a house,198.0,28 (96.55%),1 (3.45%),
Price of a house,200.0,2535 (98.26%),45 (1.74%),
Price of a house,202.0,4 (80.00%),1 (20.00%),
Price of a house,209.0,7 (87.50%),1 (12.50%),
Price of a house,210.0,140 (95.89%),6 (4.11%),
Price of a house,211.0,33 (97.06%),1 (2.94%),
Price of a house,213.0,4 (80.00%),1 (20.00%),
Price of a house,215.0,15 (93.75%),1 (6.25%),
Price of a house,220.0,109 (97.32%),3 (2.68%),
Price of a house,222.0,18 (94.74%),1 (5.26%),
Price of a house,225.0,64 (95.52%),3 (4.48%),
Price of a house,230.0,185 (96.35%),7 (3.65%),
Price of a house,232.0,7 (87.50%),1 (12.50%),
Price of a house,235.0,26 (96.30%),1 (3.70%),
Price of a house,237.0,24 (92.31%),2 (7.69%),
Price of a house,240.0,108 (99.08%),1 (0.92%),
Price of a house,243.0,45 (97.83%),1 (2.17%),
Price of a house,245.0,17 (89.47%),2 (10.53%),
Price of a house,248.0,5 (83.33%),1 (16.67%),
Price of a house,250.0,623 (97.04%),19 (2.96%),
Price of a house,254.0,22 (95.65%),1 (4.35%),
Price of a house,256.0,5 (71.43%),2 (28.57%),
Price of a house,263.0,6 (85.71%),1 (14.29%),
Price of a house,264.0,29 (74.36%),10 (25.64%),
Price of a house,269.0,1 (50.00%),1 (50.00%),
Price of a house,270.0,79 (98.75%),1 (1.25%),
Price of a house,274.0,2 (66.67%),1 (33.33%),
Price of a house,275.0,34 (97.14%),1 (2.86%),
Price of a house,276.0,22 (95.65%),1 (4.35%),
Price of a house,280.0,93 (93.00%),7 (7.00%),
Price of a house,288.0,9 (90.00%),1 (10.00%),
Price of a house,289.0,12 (85.71%),2 (14.29%),
Price of a house,295.0,9 (81.82%),2 (18.18%),
Price of a house,296.0,1 (50.00%),1 (50.00%),
Price of a house,297.0,36 (92.31%),3 (7.69%),
Price of a house,300.0,3208 (97.39%),86 (2.61%),
Price of a house,314.0,94 (95.92%),4 (4.08%),
Price of a house,320.0,76 (97.44%),2 (2.56%),
Price of a house,330.0,30 (96.77%),1 (3.23%),
Price of a house,350.0,286 (97.61%),7 (2.39%),
Price of a house,370.0,41 (97.62%),1 (2.38%),
Price of a house,380.0,29 (96.67%),1 (3.33%),
Price of a house,383.0,2 (33.33%),4 (66.67%),
Price of a house,390.0,13 (92.86%),1 (7.14%),
Price of a house,400.0,649 (97.30%),18 (2.70%),
Price of a house,410.0,7 (77.78%),2 (22.22%),
Price of a house,420.0,30 (93.75%),2 (6.25%),
Price of a house,430.0,45 (93.75%),3 (6.25%),
Price of a house,450.0,166 (97.08%),5 (2.92%),
Price of a house,460.0,22 (91.67%),2 (8.33%),
Price of a house,480.0,42 (93.33%),3 (6.67%),
Price of a house,484.0,8 (88.89%),1 (11.11%),
Price of a house,500.0,6768 (96.91%),216 (3.09%),
Price of a house,517.0,3 (75.00%),1 (25.00%),
Price of a house,520.0,18 (94.74%),1 (5.26%),
Price of a house,538.0,4 (80.00%),1 (20.00%),
Price of a house,543.0,2 (50.00%),2 (50.00%),
Price of a house,550.0,72 (97.30%),2 (2.70%),
Price of a house,560.0,44 (93.62%),3 (6.38%),
Price of a house,580.0,7 (87.50%),1 (12.50%),
Price of a house,595.0,13 (92.86%),1 (7.14%),
Price of a house,600.0,447 (96.75%),15 (3.25%),
Price of a house,620.0,8 (88.89%),1 (11.11%),
Price of a house,630.0,8 (88.89%),1 (11.11%),
Price of a house,650.0,66 (98.51%),1 (1.49%),
Price of a house,664.0,1 (50.00%),1 (50.00%),
Price of a house,700.0,671 (98.68%),9 (1.32%),
Price of a house,725.0,5 (71.43%),2 (28.57%),
Price of a house,749.0,13 (81.25%),3 (18.75%),
Price of a house,750.0,99 (99.00%),1 (1.00%),
Price of a house,770.0,9 (75.00%),3 (25.00%),
Price of a house,775.0,5 (71.43%),2 (28.57%),
Price of a house,780.0,15 (88.24%),2 (11.76%),
Price of a house,789.0,1 (50.00%),1 (50.00%),
Price of a house,800.0,716 (97.68%),17 (2.32%),
Price of a house,830.0,47 (94.00%),3 (6.00%),
Price of a house,850.0,84 (93.33%),6 (6.67%),
Price of a house,860.0,16 (94.12%),1 (5.88%),
Price of a house,870.0,17 (94.44%),1 (5.56%),
Price of a house,900.0,214 (98.17%),4 (1.83%),
Price of a house,910.0,8 (80.00%),2 (20.00%),
Price of a house,940.0,39 (97.50%),1 (2.50%),
Price of a house,950.0,25 (96.15%),1 (3.85%),
Price of a house,980.0,17 (89.47%),2 (10.53%),
Price of a house,1000.0,7203 (96.94%),227 (3.06%),
Price of a house,1040.0,9 (90.00%),1 (10.00%),
Price of a house,1050.0,57 (96.61%),2 (3.39%),
Price of a house,1080.0,17 (94.44%),1 (5.56%),
Price of a house,1100.0,196 (98.99%),2 (1.01%),
Price of a house,1200.0,783 (98.61%),11 (1.39%),
Price of a house,1210.0,6 (85.71%),1 (14.29%),
Price of a house,1250.0,89 (96.74%),3 (3.26%),
Price of a house,1261.0,1 (50.00%),1 (50.00%),
Price of a house,1280.0,13 (92.86%),1 (7.14%),
Price of a house,1299.0,1 (50.00%),1 (50.00%),
Price of a house,1300.0,584 (97.66%),14 (2.34%),
Price of a house,1360.0,13 (86.67%),2 (13.33%),
Price of a house,1400.0,289 (97.97%),6 (2.03%),
Price of a house,1420.0,16 (94.12%),1 (5.88%),
Price of a house,1425.0,4 (80.00%),1 (20.00%),
Price of a house,1439.0,7 (77.78%),2 (22.22%),
Price of a house,1500.0,3628 (98.03%),73 (1.97%),
Price of a house,1538.0,1 (50.00%),1 (50.00%),
Price of a house,1558.0,1 (50.00%),1 (50.00%),
Price of a house,1580.0,92 (98.92%),1 (1.08%),
Price of a house,1593.0,2 (66.67%),1 (33.33%),
Price of a house,1600.0,524 (97.22%),15 (2.78%),
Price of a house,1680.0,35 (97.22%),1 (2.78%),
Price of a house,1700.0,516 (96.09%),21 (3.91%),
Price of a house,1728.0,1 (50.00%),1 (50.00%),
Price of a house,1750.0,36 (97.30%),1 (2.70%),
Price of a house,1790.0,8 (80.00%),2 (20.00%),
Price of a house,1800.0,776 (97.61%),19 (2.39%),
Price of a house,1830.0,8 (80.00%),2 (20.00%),
Price of a house,1845.0,3 (60.00%),2 (40.00%),
Price of a house,1850.0,21 (91.30%),2 (8.70%),
Price of a house,1870.0,22 (91.67%),2 (8.33%),
Price of a house,1900.0,247 (98.80%),3 (1.20%),
Price of a house,1950.0,29 (93.55%),2 (6.45%),
Price of a house,1980.0,11 (91.67%),1 (8.33%),
Price of a house,2000.0,7117 (96.84%),232 (3.16%),
Price of a house,2100.0,180 (97.83%),4 (2.17%),
Price of a house,2150.0,16 (88.89%),2 (11.11%),
Price of a house,2200.0,414 (97.64%),10 (2.36%),
Price of a house,2300.0,603 (97.89%),13 (2.11%),
Price of a house,2325.0,3 (75.00%),1 (25.00%),
Price of a house,2340.0,11 (84.62%),2 (15.38%),
Price of a house,2400.0,314 (97.21%),9 (2.79%),
Price of a house,2450.0,46 (90.20%),5 (9.80%),
Price of a house,2465.0,3 (75.00%),1 (25.00%),
Price of a house,2480.0,12 (92.31%),1 (7.69%),
Price of a house,2500.0,3483 (97.54%),88 (2.46%),
Price of a house,2550.0,10 (90.91%),1 (9.09%),
Price of a house,2600.0,305 (95.61%),14 (4.39%),
Price of a house,2650.0,23 (95.83%),1 (4.17%),
Price of a house,2672.0,1 (50.00%),1 (50.00%),
Price of a house,2700.0,443 (96.51%),16 (3.49%),
Price of a house,2735.0,3 (75.00%),1 (25.00%),
Price of a house,2750.0,24 (96.00%),1 (4.00%),
Price of a house,2765.0,7 (87.50%),1 (12.50%),
Price of a house,2795.0,3 (75.00%),1 (25.00%),
Price of a house,2800.0,839 (96.55%),30 (3.45%),
Price of a house,2900.0,229 (95.42%),11 (4.58%),
Price of a house,2950.0,26 (96.30%),1 (3.70%),
Price of a house,2976.0,5 (83.33%),1 (16.67%),
Price of a house,2980.0,15 (83.33%),3 (16.67%),
Price of a house,3000.0,7387 (97.31%),204 (2.69%),
Price of a house,3100.0,118 (96.72%),4 (3.28%),
Price of a house,3129.0,19 (95.00%),1 (5.00%),
Price of a house,3150.0,160 (94.12%),10 (5.88%),
Price of a house,3200.0,410 (96.47%),15 (3.53%),
Price of a house,3250.0,19 (90.48%),2 (9.52%),
Price of a house,3300.0,319 (98.15%),6 (1.85%),
Price of a house,3380.0,3 (75.00%),1 (25.00%),
Price of a house,3400.0,258 (97.73%),6 (2.27%),
Price of a house,3500.0,2767 (95.94%),117 (4.06%),
Price of a house,3559.0,1 (50.00%),1 (50.00%),
Price of a house,3600.0,321 (96.11%),13 (3.89%),
Price of a house,3650.0,42 (97.67%),1 (2.33%),
Price of a house,3665.0,8 (88.89%),1 (11.11%),
Price of a house,3680.0,2 (66.67%),1 (33.33%),
Price of a house,3700.0,260 (96.30%),10 (3.70%),
Price of a house,3780.0,5 (83.33%),1 (16.67%),
Price of a house,3800.0,616 (95.36%),30 (4.64%),
Price of a house,3815.0,67 (98.53%),1 (1.47%),
Price of a house,3850.0,68 (97.14%),2 (2.86%),
Price of a house,3885.0,29 (78.38%),8 (21.62%),
Price of a house,3980.0,10 (83.33%),2 (16.67%),
Price of a house,4000.0,5818 (96.82%),191 (3.18%),
Price of a house,4010.0,3 (75.00%),1 (25.00%),
Price of a house,4040.0,6 (75.00%),2 (25.00%),
Price of a house,4050.0,17 (80.95%),4 (19.05%),
Price of a house,4100.0,65 (94.20%),4 (5.80%),
Price of a house,4150.0,5 (83.33%),1 (16.67%),
Price of a house,4168.0,8 (80.00%),2 (20.00%),
Price of a house,4200.0,399 (97.08%),12 (2.92%),
Price of a house,4230.0,1 (50.00%),1 (50.00%),
Price of a house,4300.0,357 (98.62%),5 (1.38%),
Price of a house,4350.0,4 (80.00%),1 (20.00%),
Price of a house,4400.0,96 (98.97%),1 (1.03%),
Price of a house,4480.0,6 (85.71%),1 (14.29%),
Price of a house,4500.0,2647 (95.49%),125 (4.51%),
Price of a house,4600.0,97 (96.04%),4 (3.96%),
Price of a house,4680.0,5 (83.33%),1 (16.67%),
Price of a house,4700.0,120 (94.49%),7 (5.51%),
Price of a house,4750.0,13 (72.22%),5 (27.78%),
Price of a house,4800.0,312 (94.83%),17 (5.17%),
Price of a house,4900.0,88 (98.88%),1 (1.12%),
Price of a house,4950.0,27 (96.43%),1 (3.57%),
Price of a house,4970.0,3 (50.00%),3 (50.00%),
Price of a house,4975.0,1 (50.00%),1 (50.00%),
Price of a house,4980.0,8 (80.00%),2 (20.00%),
Price of a house,5000.0,9093 (97.17%),265 (2.83%),
Price of a house,5100.0,91 (97.85%),2 (2.15%),
Price of a house,5200.0,232 (96.67%),8 (3.33%),
Price of a house,5300.0,182 (97.85%),4 (2.15%),
Price of a house,5400.0,149 (96.13%),6 (3.87%),
Price of a house,5500.0,1667 (95.42%),80 (4.58%),
Price of a house,5600.0,128 (93.43%),9 (6.57%),
Price of a house,5670.0,17 (94.44%),1 (5.56%),
Price of a house,5700.0,103 (97.17%),3 (2.83%),
Price of a house,5750.0,8 (80.00%),2 (20.00%),
Price of a house,5753.0,1 (33.33%),2 (66.67%),
Price of a house,5800.0,168 (96.55%),6 (3.45%),
Price of a house,5900.0,58 (90.62%),6 (9.38%),
Price of a house,6000.0,6212 (96.34%),236 (3.66%),
Price of a house,6100.0,27 (90.00%),3 (10.00%),
Price of a house,6158.0,1 (33.33%),2 (66.67%),
Price of a house,6200.0,210 (97.67%),5 (2.33%),
Price of a house,6250.0,15 (93.75%),1 (6.25%),
Price of a house,6300.0,222 (97.80%),5 (2.20%),
Price of a house,6400.0,76 (98.70%),1 (1.30%),
Price of a house,6450.0,8 (88.89%),1 (11.11%),
Price of a house,6500.0,2066 (94.90%),111 (5.10%),
Price of a house,6600.0,68 (91.89%),6 (8.11%),
Price of a house,6620.0,3 (75.00%),1 (25.00%),
Price of a house,6700.0,161 (95.27%),8 (4.73%),
Price of a house,6800.0,240 (94.49%),14 (5.51%),
Price of a house,6900.0,68 (98.55%),1 (1.45%),
Price of a house,7000.0,6162 (95.51%),290 (4.49%),
Price of a house,7100.0,33 (94.29%),2 (5.71%),
Price of a house,7200.0,264 (95.65%),12 (4.35%),
Price of a house,7250.0,5 (83.33%),1 (16.67%),
Price of a house,7300.0,94 (95.92%),4 (4.08%),
Price of a house,7400.0,55 (96.49%),2 (3.51%),
Price of a house,7500.0,1962 (95.75%),87 (4.25%),
Price of a house,7600.0,83 (96.51%),3 (3.49%),
Price of a house,7700.0,79 (89.77%),9 (10.23%),
Price of a house,7800.0,219 (96.90%),7 (3.10%),
Price of a house,7900.0,44 (89.80%),5 (10.20%),
Price of a house,7940.0,1 (50.00%),1 (50.00%),
Price of a house,7960.0,3 (50.00%),3 (50.00%),
Price of a house,8000.0,7284 (95.78%),321 (4.22%),
Price of a house,8100.0,43 (97.73%),1 (2.27%),
Price of a house,8200.0,117 (99.15%),1 (0.85%),
Price of a house,8300.0,159 (92.44%),13 (7.56%),
Price of a house,8320.0,1 (50.00%),1 (50.00%),
Price of a house,8400.0,102 (97.14%),3 (2.86%),
Price of a house,8500.0,1721 (94.15%),107 (5.85%),
Price of a house,8560.0,4 (80.00%),1 (20.00%),
Price of a house,8600.0,117 (95.90%),5 (4.10%),
Price of a house,8700.0,147 (94.23%),9 (5.77%),
Price of a house,8750.0,3 (75.00%),1 (25.00%),
Price of a house,8800.0,94 (98.95%),1 (1.05%),
Price of a house,8900.0,35 (92.11%),3 (7.89%),
Price of a house,9000.0,4236 (94.39%),252 (5.61%),
Price of a house,9100.0,39 (97.50%),1 (2.50%),
Price of a house,9200.0,104 (93.69%),7 (6.31%),
Price of a house,9250.0,3 (75.00%),1 (25.00%),
Price of a house,9300.0,54 (90.00%),6 (10.00%),
Price of a house,9400.0,37 (97.37%),1 (2.63%),
Price of a house,9450.0,7 (87.50%),1 (12.50%),
Price of a house,9500.0,902 (93.96%),58 (6.04%),
Price of a house,9600.0,92 (97.87%),2 (2.13%),
Price of a house,9700.0,71 (94.67%),4 (5.33%),
Price of a house,9750.0,6 (85.71%),1 (14.29%),
Price of a house,9800.0,98 (93.33%),7 (6.67%),
Price of a house,10000.0,11047 (95.11%),568 (4.89%),
Price of a house,10050.0,7 (87.50%),1 (12.50%),
Price of a house,10500.0,441 (94.43%),26 (5.57%),
Price of a house,10600.0,35 (81.40%),8 (18.60%),
Price of a house,10700.0,5 (55.56%),4 (44.44%),
Price of a house,10750.0,5 (83.33%),1 (16.67%),
Price of a house,10800.0,69 (94.52%),4 (5.48%),
Price of a house,10900.0,14 (87.50%),2 (12.50%),
Price of a house,11000.0,2753 (94.38%),164 (5.62%),
Price of a house,11200.0,39 (95.12%),2 (4.88%),
Price of a house,11300.0,21 (95.45%),1 (4.55%),
Price of a house,11500.0,304 (93.54%),21 (6.46%),
Price of a house,11600.0,69 (95.83%),3 (4.17%),
Price of a house,11800.0,35 (94.59%),2 (5.41%),
Price of a house,11900.0,5 (62.50%),3 (37.50%),
Price of a house,12000.0,6576 (93.98%),421 (6.02%),
Price of a house,12250.0,11 (91.67%),1 (8.33%),
Price of a house,12400.0,22 (91.67%),2 (8.33%),
Price of a house,12450.0,1 (50.00%),1 (50.00%),
Price of a house,12500.0,465 (93.19%),34 (6.81%),
Price of a house,12600.0,23 (85.19%),4 (14.81%),
Price of a house,12700.0,31 (93.94%),2 (6.06%),
Price of a house,12800.0,49 (94.23%),3 (5.77%),
Price of a house,13000.0,4871 (94.97%),258 (5.03%),
Price of a house,13050.0,3 (60.00%),2 (40.00%),
Price of a house,13100.0,12 (80.00%),3 (20.00%),
Price of a house,13400.0,24 (88.89%),3 (11.11%),
Price of a house,13500.0,527 (94.44%),31 (5.56%),
Price of a house,13600.0,17 (85.00%),3 (15.00%),
Price of a house,13650.0,10 (90.91%),1 (9.09%),
Price of a house,13800.0,41 (83.67%),8 (16.33%),
Price of a house,13900.0,9 (75.00%),3 (25.00%),
Price of a house,14000.0,2906 (92.14%),248 (7.86%),
Price of a house,14050.0,4 (80.00%),1 (20.00%),
Price of a house,14300.0,30 (96.77%),1 (3.23%),
Price of a house,14400.0,31 (96.88%),1 (3.12%),
Price of a house,14500.0,397 (93.19%),29 (6.81%),
Price of a house,14700.0,17 (94.44%),1 (5.56%),
Price of a house,14800.0,21 (95.45%),1 (4.55%),
Price of a house,14900.0,29 (96.67%),1 (3.33%),
Price of a house,15000.0,8482 (93.95%),546 (6.05%),
Price of a house,15400.0,13 (86.67%),2 (13.33%),
Price of a house,15500.0,213 (92.61%),17 (7.39%),
Price of a house,15600.0,43 (93.48%),3 (6.52%),
Price of a house,15700.0,10 (90.91%),1 (9.09%),
Price of a house,15800.0,23 (95.83%),1 (4.17%),
Price of a house,15900.0,14 (93.33%),1 (6.67%),
Price of a house,16000.0,3155 (92.55%),254 (7.45%),
Price of a house,16200.0,32 (94.12%),2 (5.88%),
Price of a house,16350.0,3 (75.00%),1 (25.00%),
Price of a house,16400.0,22 (78.57%),6 (21.43%),
Price of a house,16500.0,287 (89.69%),33 (10.31%),
Price of a house,16600.0,7 (87.50%),1 (12.50%),
Price of a house,16700.0,9 (90.00%),1 (10.00%),
Price of a house,16800.0,49 (92.45%),4 (7.55%),
Price of a house,16900.0,12 (92.31%),1 (7.69%),
Price of a house,17000.0,2849 (92.38%),235 (7.62%),
Price of a house,17259.0,2 (66.67%),1 (33.33%),
Price of a house,17300.0,9 (81.82%),2 (18.18%),
Price of a house,17400.0,22 (95.65%),1 (4.35%),
Price of a house,17500.0,373 (91.42%),35 (8.58%),
Price of a house,17700.0,9 (81.82%),2 (18.18%),
Price of a house,18000.0,4173 (92.30%),348 (7.70%),
Price of a house,18100.0,4 (80.00%),1 (20.00%),
