,Features_2022,Features_2021,Features_2020,Features_2019,Features_2018
633,문A1-2) OO프로그램에 참여한 경험이 있다면^ 참여한 프로그램 수는 몇개입니까? 26) 미술강좌,0,0,0,0
634,0,0,0,0,문B3-7)중도 포기여부 - 1-(6)시민참여교육
635,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_3-7,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_3-7,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_3-7,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_3-7,0
636,0,0,0,0,문B3-8)중도 포기이유 - 1-(6)시민참여교육
637,문A1-2) OO프로그램에 참여한 경험이 있다면^ 참여한 프로그램 수는 몇개입니까? 27) 스포츠강좌,0,0,0,0
638,문A2-6) 연간참여시간__(6)시민참여교육_1,문A2-6) 연간참여시간__(6)시민참여교육_1,문A2-6) 연간참여시간__(6)시민참여교육_1,문A2-6) 연간참여시간__(6)시민참여교육_1,문A2-6) 연간참여시간__(6)시민참여교육_1
639,0,0,0,문B3-2)프로그램 과거수강경험 여부-1-(4)문화예술스포츠교육,0
640,문A2-7) 자기부담학습비__(6)시민참여교육_1,문A2-7) 자기부담학습비__(6)시민참여교육_1,문A2-7) 자기부담학습비__(6)시민참여교육_1,문A2-7) 자기부담학습비__(6)시민참여교육_1,문A2-7) 자기부담학습비__(6)시민참여교육_1
641,문A1-2) OO프로그램에 참여한 경험이 있다면^ 참여한 프로그램 수는 몇개입니까? 28) 지도자과정,0,0,0,0
642,문A2-8) 학습비 외부 지원여부__(6)시민참여교육_1,문A2-8) 학습비 외부 지원여부__(6)시민참여교육_1,문A2-8) 학습비 외부 지원여부__(6)시민참여교육_1,문A2-8) 학습비 외부 지원여부__(6)시민참여교육_1,문A2-8) 학습비 외부 지원여부__(6)시민참여교육_1
643,문A1-2) OO프로그램에 참여한 경험이 있다면^ 참여한 프로그램 수는 몇개입니까? 29) 시민참여교육강좌,0,0,0,0
644,0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 1-(6)시민참여교육_2
645,0,0,0,문B3-7)중도 포기여부-1-(4)문화예술스포츠교육,0
646,0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 1-(6)시민참여교육_3
647,0,0,0,문B3-8)중도 포기이유-1-(4)문화예술스포츠교육,0
648,0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 1-(6)시민참여교육_4
649,문A1-2) OO프로그램에 참여한 경험이 있다면^ 참여한 프로그램 수는 몇개입니까? 30) 환경생태 강좌,0,0,0,0
650,0,0,0,0,문B3-13)자격증 취득가능여부 - 1-(6)시민참여교육
651,0,0,0,문B3-10)자기부담학습비-1-(4)문화예술스포츠교육(무응답포함),0
652,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-1,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-1,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-1,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-1,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-1
653,0,0,0,문B3-10)자기부담학습비-1-(4)문화예술스포츠교육(무응답대체후),0
654,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-2,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-2,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-2,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-2,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-2
655,0,0,0,문B3-13)자격증 취득가능여부-1-(4)문화예술스포츠교육,0
656,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-3,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-3,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-3,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-3,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-3
657,0,0,0,문B3-2)프로그램 과거수강경험 여부-2-(4)문화예술스포츠교육,0
658,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-4,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-4,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-4,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-4,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-4
659,0,0,0,문B3-7)중도 포기여부-2-(4)문화예술스포츠교육,0
660,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-5,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-5,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-5,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-5,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-5
661,0,0,0,문B3-8)중도 포기이유-2-(4)문화예술스포츠교육,0
662,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-6,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-6,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-6,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-6,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_1-6
663,문A2-1) 프로그램 유형__(3)직업능력향상교육_4,문A2-1) 프로그램 유형__(3)직업능력향상교육_4,0,0,0
664,문A2-1) 프로그램 유형__(6)시민참여교육_2,문A2-1) 프로그램 유형__(6)시민참여교육_2,문A2-1) 프로그램 유형__(6)시민참여교육_2,문A2-1) 프로그램 유형__(6)시민참여교육_2,문A2-1) 프로그램 유형__(6)시민참여교육_2
665,0,0,0,0,문B3-2)프로그램 과거수강경험 여부 - 2-(6)시민참여교육
666,문A2-2) 프로그램 형태__(3)직업능력향상교육_4,문A2-2) 프로그램 형태__(3)직업능력향상교육_4,0,0,0
667,문A2-2) 프로그램 형태__(6)시민참여교육_2,문A2-2) 프로그램 형태__(6)시민참여교육_2,문A2-2) 프로그램 형태__(6)시민참여교육_2,문A2-2) 프로그램 형태__(6)시민참여교육_2,문A2-2) 프로그램 형태__(6)시민참여교육_2
668,문A2-3) 기관 유형__(3)직업능력향상교육_4,문A2-3) 기관 유형__(3)직업능력향상교육_4,0,0,0
669,0,0,0,0,문B3-7)중도 포기여부 - 2-(6)시민참여교육
670,0,0,0,문B3-13)자격증 취득가능여부-2-(4)문화예술스포츠교육,0
671,0,0,0,0,문B3-8)중도 포기이유 - 2-(6)시민참여교육
672,문A2-5) 참여목적__(3)직업능력향상교육_4,문A2-5) 참여목적__(3)직업능력향상교육_4,0,0,0
673,문A2-6) 연간참여시간__(6)시민참여교육_2,문A2-6) 연간참여시간__(6)시민참여교육_2,문A2-6) 연간참여시간__(6)시민참여교육_2,문A2-6) 연간참여시간__(6)시민참여교육_2,문A2-6) 연간참여시간__(6)시민참여교육_2
674,문A2-1) 프로그램 유형__(5)문화예술스포츠교육_1,문A2-1) 프로그램 유형__(5)문화예술스포츠교육_1,문A2-1) 프로그램 유형__(5)문화예술스포츠교육_1,문A2-1) 프로그램 유형__(5)문화예술스포츠교육_1,문A2-1) 프로그램 유형__(5)문화예술스포츠교육_1
675,문A2-6) 연간참여시간__(3)직업능력향상교육_4,문A2-6) 연간참여시간__(3)직업능력향상교육_4,0,0,0
676,문A2-9) 학습비 외부 지원기관__(6)시민참여교육_2,문A2-9) 학습비 외부 지원기관__(6)시민참여교육_2,문A2-9) 학습비 외부 지원기관__(6)시민참여교육_2,문A2-9) 학습비 외부 지원기관__(6)시민참여교육_2,문A2-9) 학습비 외부 지원기관__(6)시민참여교육_2
677,0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 2-(6)시민참여교육_2
678,0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 2-(6)시민참여교육_3
679,문A2-2) 프로그램 형태__(5)문화예술스포츠교육_1,문A2-2) 프로그램 형태__(5)문화예술스포츠교육_1,문A2-2) 프로그램 형태__(5)문화예술스포츠교육_1,문A2-2) 프로그램 형태__(5)문화예술스포츠교육_1,문A2-2) 프로그램 형태__(5)문화예술스포츠교육_1
680,문A2-7) 자기부담학습비__(3)직업능력향상교육_4,문A2-7) 자기부담학습비__(3)직업능력향상교육_4,0,0,0
681,0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 2-(6)시민참여교육_4
682,0,0,0,0,문B3-13)자격증 취득가능여부 - 2-(6)시민참여교육
683,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_4,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_4,0,0,0
684,문A2-10) 프로그램만족도__(6)시민참여교육_2,문A2-10) 프로그램만족도__(6)시민참여교육_2,문A2-10) 프로그램만족도__(6)시민참여교육_2,문A2-10) 프로그램만족도__(6)시민참여교육_2,문A2-10) 프로그램만족도__(6)시민참여교육_2
685,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_2-7,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_2-7,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_2-7,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_2-7,0
686,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_2-1,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_2-1,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_2-1,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_2-1,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_2-1
687,문A2-5) 참여목적__(5)문화예술스포츠교육_1,문A2-5) 참여목적__(5)문화예술스포츠교육_1,문A2-5) 참여목적__(5)문화예술스포츠교육_1,문A2-5) 참여목적__(5)문화예술스포츠교육_1,문A2-5) 참여목적__(5)문화예술스포츠교육_1
688,문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_4,문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_4,0,0,0
689,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_2-3,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_2-3,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_2-3,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_2-3,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_2-3
690,0,0,0,문B3-2)프로그램 과거수강경험 여부-3-(4)문화예술스포츠교육,0
691,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_2-4,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_2-4,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_2-4,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_2-4,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_2-4
692,문A2-10) 프로그램만족도__(3)직업능력향상교육_4,문A2-10) 프로그램만족도__(3)직업능력향상교육_4,0,0,0
693,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_2-5,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_2-5,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_2-5,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_2-5,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_2-5
694,문A2-3) 기관 유형__(5)문화예술스포츠교육_3,0,문A2-3) 기관 유형__(5)문화예술스포츠교육_3,문A2-3) 기관 유형__(5)문화예술스포츠교육_3,문A2-3) 기관 유형__(5)문화예술스포츠교육_3
695,0,0,0,0,문B3-2)프로그램 과거수강경험 여부 - 3-(6)시민참여교육
696,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_4-1,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_4-1,0,0,0
697,문A2-2) 프로그램 형태__(6)시민참여교육_3,문A2-2) 프로그램 형태__(6)시민참여교육_3,문A2-2) 프로그램 형태__(6)시민참여교육_3,문A2-2) 프로그램 형태__(6)시민참여교육_3,문A2-2) 프로그램 형태__(6)시민참여교육_3
698,0,0,0,문B3-7)중도 포기여부-3-(4)문화예술스포츠교육,0
699,문A2-3) 기관 유형__(6)시민참여교육_3,문A2-3) 기관 유형__(6)시민참여교육_3,문A2-3) 기관 유형__(6)시민참여교육_3,문A2-3) 기관 유형__(6)시민참여교육_3,문A2-3) 기관 유형__(6)시민참여교육_3
700,0,0,0,문B3-8)중도 포기이유-3-(4)문화예술스포츠교육,0
701,문A2-5) 참여목적__(6)시민참여교육_3,문A2-5) 참여목적__(6)시민참여교육_3,문A2-5) 참여목적__(6)시민참여교육_3,문A2-5) 참여목적__(6)시민참여교육_3,문A2-5) 참여목적__(6)시민참여교육_3
702,0,0,0,0,문B3-7)중도 포기여부 - 3-(6)시민참여교육
703,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_4-2,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_4-2,0,0,0
704,0,0,0,0,문B3-8)중도 포기이유 - 3-(6)시민참여교육
705,문A2-9) 학습비 외부 지원기관__(5)문화예술스포츠교육_1,문A2-9) 학습비 외부 지원기관__(5)문화예술스포츠교육_1,문A2-9) 학습비 외부 지원기관__(5)문화예술스포츠교육_1,문A2-9) 학습비 외부 지원기관__(5)문화예술스포츠교육_1,문A2-9) 학습비 외부 지원기관__(5)문화예술스포츠교육_1
706,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_4-3,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_4-3,0,0,0
707,문A2-8) 학습비 외부 지원여부__(6)시민참여교육_3,문A2-8) 학습비 외부 지원여부__(6)시민참여교육_3,문A2-8) 학습비 외부 지원여부__(6)시민참여교육_3,문A2-8) 학습비 외부 지원여부__(6)시민참여교육_3,문A2-8) 학습비 외부 지원여부__(6)시민참여교육_3
708,0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 3-(6)시민참여교육_2
709,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_4-4,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_4-4,0,0,0
710,0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 3-(6)시민참여교육_3
711,0,0,0,문B3-13)자격증 취득가능여부-3-(4)문화예술스포츠교육,0
712,0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 3-(6)시민참여교육_4
713,0,0,0,0,문B3-13)자격증 취득가능여부 - 3-(6)시민참여교육
714,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_1-1,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_1-1,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_1-1,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_1-1,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_1-1
715,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_4-5,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_4-5,0,0,0
716,문A2-10) 프로그램만족도__(6)시민참여교육_3,문A2-10) 프로그램만족도__(6)시민참여교육_3,문A2-10) 프로그램만족도__(6)시민참여교육_3,문A2-10) 프로그램만족도__(6)시민참여교육_3,문A2-10) 프로그램만족도__(6)시민참여교육_3
717,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_3-1,0,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_3-1,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_3-1,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_3-1
718,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_4-6,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_4-6,0,0,0
719,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_3-3,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_3-3,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_3-3,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_3-3,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_3-3
720,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_3-3,0,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_3-3,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_3-3,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_3-3
721,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_1-3,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_1-3,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_1-3,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_1-3,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_1-3
722,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_4-7,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_4-7,0,0,0
723,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_3-6,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_3-6,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_3-6,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_3-6,문A2-11) 프로그램 불만족 요인(중복응답)__(6)시민참여교육_3-6
724,문A2-1) 프로그램 유형__(3)직업능력향상교육_5,문A2-1) 프로그램 유형__(3)직업능력향상교육_5,0,0,0
725,문B1-3) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__교양 함양이나 지식 습득 등 자기 계발,문B1-3) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__교양 함양이나 지식 습득 등 자기 계발,문B1-3) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__교양 함양이나 지식 습득 등 자기 계발,문B1-3) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__교양 함양이나 지식 습득 등 자기 계발,문B1-3) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__교양 함양이나 지식 습득 등 자기 계발
726,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_3-7,0,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_3-7,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_3-7,0
727,문B1-4) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__취업^ 이직^ 창업에 도움,문B1-4) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__취업^ 이직^ 창업에 도움,문B1-4) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__취업^ 이직^ 창업에 도움,문B1-4) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__취업^ 이직^ 창업에 도움,문B1-4) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__취업^ 이직^ 창업에 도움
728,문A2-2) 프로그램 형태__(3)직업능력향상교육_5,문A2-2) 프로그램 형태__(3)직업능력향상교육_5,0,0,0
729,문B1-6) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__성과급^ 연봉 등 소득 증대,문B1-6) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__성과급^ 연봉 등 소득 증대,문B1-6) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__성과급^ 연봉 등 소득 증대,문B1-6) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__성과급^ 연봉 등 소득 증대,문B1-6) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__성과급^ 연봉 등 소득 증대
730,0,0,0,문B3-2)프로그램 과거수강경험 여부-1-(5)시민참여교육,0
731,문B1-7) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__고용안정,문B1-7) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__고용안정,문B1-7) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__고용안정,문B1-7) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__고용안정,문B1-7) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__고용안정
732,문A2-3) 기관 유형__(3)직업능력향상교육_5,문A2-3) 기관 유형__(3)직업능력향상교육_5,0,0,0
733,문B1-9) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__친목도모 증진,문B1-9) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__친목도모 증진,문B1-9) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__친목도모 증진,문B1-9) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__친목도모 증진,문B1-9) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__친목도모 증진
734,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_1-7,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_1-7,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_1-7,문A2-11) 프로그램 불만족 요인(중복응답)__(5)문화예술스포츠교육_1-7,0
735,문B1-1) 귀하께서는 작년에 다음과 같은 학습에 참여해 본 적이 있으십니까?__가족^ 친구 또는 직장동료^ 상사의 도움이나 조언을 통해 지식을 습득한 적이 있다,문B1-1) 귀하께서는 작년에 다음과 같은 학습에 참여해 본 적이 있으십니까?__가족^ 친구 또는 직장동료^ 상사의 도움이나 조언을 통해 지식을 습득한 적이 있다,문B1-1) 귀하께서는 작년에 다음과 같은 학습에 참여해 본 적이 있으십니까?__가족^ 친구 또는 직장동료^ 상사의 도움이나 조언을 통해 지식을 습득한 적이 있다,문B1-1) 귀하께서는 작년에 다음과 같은 학습에 참여해 본 적이 있으십니까?__가족^ 친구 또는 직장동료^ 상사의 도움이나 조언을 통해 지식을 습득한 적이 있다,문B1-1) 귀하께서는 작년에 다음과 같은 학습에 참여해 본 적이 있으십니까?__가족^ 친구 또는 직장동료^ 상사의 도움이나 조언을 통해 지식을 습득한 적이 있다
736,문A2-5) 참여목적__(3)직업능력향상교육_5,문A2-5) 참여목적__(3)직업능력향상교육_5,0,0,0
737,문B1-2) 귀하께서는 작년에 다음과 같은 학습에 참여해 본 적이 있으십니까?__트위터^ 페이스북^ 카페^ 블로그^ 밴드 등을 활용해서 새로운 정보나 기술을 습득한 적이 있다,문B1-2) 귀하께서는 작년에 다음과 같은 학습에 참여해 본 적이 있으십니까?__트위터^ 페이스북^ 카페^ 블로그^ 밴드 등을 활용해서 새로운 정보나 기술을 습득한 적이 있다,문B1-2) 귀하께서는 작년에 다음과 같은 학습에 참여해 본 적이 있으십니까?__트위터^ 페이스북^ 카페^ 블로그^ 밴드 등을 활용해서 새로운 정보나 기술을 습득한 적이 있다,문B1-2) 귀하께서는 작년에 다음과 같은 학습에 참여해 본 적이 있으십니까?__트위터^ 페이스북^ 카페^ 블로그^ 밴드 등을 활용해서 새로운 정보나 기술을 습득한 적이 있다,문B1-2) 귀하께서는 작년에 다음과 같은 학습에 참여해 본 적이 있으십니까?__트위터^ 페이스북^ 카페^ 블로그^ 밴드 등을 활용해서 새로운 정보나 기술을 습득한 적이 있다
738,0,0,0,문B3-7)중도 포기여부-1-(5)시민참여교육,0
739,문B1-5) 귀하께서는 작년에 다음과 같은 학습에 참여해 본 적이 있으십니까?__학습을 목적으로 텔레비전^ 라디오 등을 활용해서 새로운 지식을 습득한 적이 있다,문B1-5) 귀하께서는 작년에 다음과 같은 학습에 참여해 본 적이 있으십니까?__학습을 목적으로 텔레비전^ 라디오 등을 활용해서 새로운 지식을 습득한 적이 있다,문B1-5) 귀하께서는 작년에 다음과 같은 학습에 참여해 본 적이 있으십니까?__학습을 목적으로 텔레비전^ 라디오 등을 활용해서 새로운 지식을 습득한 적이 있다,문B1-5) 귀하께서는 작년에 다음과 같은 학습에 참여해 본 적이 있으십니까?__학습을 목적으로 텔레비전^ 라디오 등을 활용해서 새로운 지식을 습득한 적이 있다,문B1-5) 귀하께서는 작년에 다음과 같은 학습에 참여해 본 적이 있으십니까?__학습을 목적으로 텔레비전^ 라디오 등을 활용해서 새로운 지식을 습득한 적이 있다
740,0,0,0,문B3-8)중도 포기이유-1-(5)시민참여교육,0
741,문B1-6) 귀하께서는 작년에 다음과 같은 학습에 참여해 본 적이 있으십니까?__책이나 전문잡지 등 인쇄매체를 활용해서 지식을 습득한 적이 있다,문B1-6) 귀하께서는 작년에 다음과 같은 학습에 참여해 본 적이 있으십니까?__책이나 전문잡지 등 인쇄매체를 활용해서 지식을 습득한 적이 있다,문B1-6) 귀하께서는 작년에 다음과 같은 학습에 참여해 본 적이 있으십니까?__책이나 전문잡지 등 인쇄매체를 활용해서 지식을 습득한 적이 있다,문B1-6) 귀하께서는 작년에 다음과 같은 학습에 참여해 본 적이 있으십니까?__책이나 전문잡지 등 인쇄매체를 활용해서 지식을 습득한 적이 있다,문B1-6) 귀하께서는 작년에 다음과 같은 학습에 참여해 본 적이 있으십니까?__책이나 전문잡지 등 인쇄매체를 활용해서 지식을 습득한 적이 있다
