"작성자","평점","좋아요","댓글수","리뷰"
"하다","4.5","1","0","그의 선택이 옳다고 생각할 수 없고, 극단적이었지만 그를 비난할 수는 없다."
"실존주의자","5.0","1","0","우리가 만약 이상황이 닥친다면 어떻게 행동할까."
"Raehoon Jeong","4.0","1","0","슬프면서도 잔잔하고 늙으면 내 삶이 될 것 같은 영화."
"김정교","4.0","1","0","어릴 때는 하루가 길었다. 나이가 먹으면 삶이 빠르게 지나가는 것 같다. 죽을 때가 되면 다들 인생이 참, 길다고 한다."
"Jieun Park","5.0","1","0","내가 사랑하는 사람들은  이 영화를 보지 않았으면 좋겠다."
"Youn","5.0","1","0","오직 가슴으로 깊이 느끼는 숭고한 사랑과 삶, 죽음에 대한 성찰"
"totoro","4.5","1","0","빛이 잠드는 순간까지 기꺼이 짐이 되고 짐을 나누리. 조건없이 그대가 원하는대로. 아무르."
"YongJin Kim","5.0","1","0","그러한 것들."
"슐리킴","3.5","1","0","이해하기엔 너무 어린걸까.?"
"DO Won Park","4.0","1","0","네 살 어린이가 되어도 지켜줄 사람,
짜증나지 않고."
"전민철","4.0","1","0","격정적 사랑도, 황홀한 추억도 세월이 지나면 옷을 벗고 그 본질을 보여준다. 인생이란 나약한 것이며 아이러니하게도 그 본바탕과 마주하는 시기는 우리가 가장 약할 때이다."
"서웅","4.5","1","0","평생을 사랑하게될때는 때론 끝에 다다르기 위해서도 사랑해야할 때가 있다."
"한송이","4.5","1","0","온전히 영화의 깊이와 감동을 느끼기엔 나는 어린 듯 하다. 내가 나이가 들어 어느 날 문득 이 영화가 생각났으면 좋겠다. 먼훗날, 다시 한 번 보고싶은 영화."
"프릭커","4.0","1","0","결국 사랑이라면, 법과 윤리의 테두리 안에서 환멸감과 죄책감 중 무엇을 택할 것인가."
"박연수","4.5","1","0","그럼에도 불구하고, 부부는 함께 마지막을 나섰다. 부부가 함께 소통했던 음악 외의 다른 배경음악은 없었다. 어렵지만, 또 그렇지 않은 영화."
"걸어라","4.5","1","0","삶을 넘어선 사랑, 사랑을 넘어선 죽음, 죽음을 넘어선 삶."
"최정미","4.5","1","0","외면할 수 없는 삶이 된 사랑.의 무게가 너무 무거워서 아름답고 슬픈."
"JUNO","5.0","1","0","평범함을 위대함으로"
"Doyeong Kim","4.0","1","0","치매로 돌아가신 할머니가 계셨다. 슬펐지만 어쩔 수 없는 일이라고 생각했다. 그 후에 이 영화를 보게되었다. 난 이번에도 묵묵히 지켜보는 것 외에는 아무것도 할 수 없었다."
"곽동석","4.0","1","0","삶과 죽음에서 사랑이란 이름으로."
"Jonathan Young Kim","4.5","1","0","그가 사랑해서 한 행동들이라면"
"Jaemin Bae","4.5","1","0","죽음앞 사랑."
"깐깐한 송암","1.0","1","0","보다보다잠. 
불면증에 시달린다면 추천."
"A.pd","4.5","1","0","그 건조함이 영화를 풍요롭게했다."
"G. Shadekeys Lee","4.5","1","0","나의 사랑도, 너의 병마도, 모두 나눠가지는 거야."
"Eunah Cho","4.0","1","0","내가 감히 그들의 대해 이야기할 수 있을까... 내가 말할 수 있는 것은 이 영화의 제목이 아무르라는 것 뿐."
"psycho","4.0","1","0","삶과 죽음의 무게!"
"메타몽","4.0","1","0","10대가 보면 머리로는 알겠으나 가슴으론 와닿지 못할"
"Katrin","3.0","1","0","아무르. 단지 아무르."
"LP","4.5","1","0","어느 거장이 바라본 삶과 죽음 그리고 사랑에 대한 자세."
"김PD","5.0","1","0","익숙해질 수 없는 어둠.
따라잡을 수 없는 속도.
사랑과 죽음에 대해서는 둘을 제외하면 모두 타자일 수밖에 없다는, 
'사랑 그 쓸쓸함에 대한' 진실."
"lalala","보고싶어요","1","0","보고싶은데 보기싫다ㅠ"
"취생몽사","5.0","1","0","동감할 수 밖에 없는... 눈물흘릴 수 밖에 없는 아름다운 '보냄'"
"eu prattein","5.0","1","0","생과사의고통 사랑과이별의고통
그속의교차로에잔혹하게던져진삶의끝자락
어쩌면감독이우리에게던지는화두
어쩌면감독자신에게던지는화두"
"홍현정","4.5","1","0","Amour"
"Bom","5.0","1","0","(이영화를 어찌 100자 이내로 표현을 한단 말인가...) 
사랑, 죽음, 인생에 대한 감정의 복잡함. BGM없는 엔딩크레딧에서 그 감정은 폭발한다"
"정예빈","4.0","1","0","생각이 많아졌다"
"Hee Kwak","4.0","1","0","'사랑받는 것에 대한 고통.'
작품에 대한 이해와 감동이 늘 비례하진 않는다. 
하지만 조금씩 나이먹어 가며 조금씩 더 많이 이해할꺼라는걸 알겠는 영화. 
그래서 더 먹먹한 영화."
"박재하","5.0","1","0","고통없이 베었다...
종이도 칼도 아닌 것이 
아마 보이지 않은 것일지도....
모르겠다..."
"김진영","4.0","1","0","영화가 끝나고 밀려오는 감정을 술로 풀 수도 없었던 기억이 난다. 좋은 영화이지만 힘든 영화이다. 아름답지만 즐겁지는 않다."
"강영호","3.5","1","0","한동안 가슴 먹먹했던....불편할 정도로 현실적이지만 아름다웠던 사랑이야기."
"hilts","3.0","1","0","떠나는 사람의 외로움과 남겨진 사람의 외로움.
그 현실."
"602","4.5","0","0","영화는 시작부터 결말을 보여준다. 결말을 아는데도 결말이 궁금한 영화였다. 이런 캐릭터 이런 관계 이런 (재정적) 배경에서도 그런 결말이 나왔음을 보여주고 시작하니까. 영화의 설정상 모든 게 순한 맛인데도 고통스러웠다. 그 순한 맛 여정은 결국 조르주와 안느가 꺾이고 시들어가는 과정을 보여준다. 시들어갈 때는 대단한 소리조차 나지 않지만, 그럼에도 서서히 그렇게 된다. 

이것을 오직 노인/노년의 이야기라고만 전제한 리뷰들이 많아서 놀랐다. 늙는다고 모두가 겪는 일이 아니고 젊다고 안 겪는 일도 아니므로. 보호자가 꼭 배우자도 아니므로.

영화 내내 말이 별로 없는 조르주의 다음 대사를 정확하게 맞힌 순간이 내겐 있었다."
"심필","4.0","0","0","왜 냉철한 시선이라고 하는지 알겠다.
우리가 망각하고 있는 공포를 마주하게 한다.
계속 살아가야 하는 이유를 잃어버렸을 때의 공포.
무기력해지는 과정 속의 공포.
늙음의 공포.

함께 보낸 그 많은 세월이 무색하게도,
인간은 상황에 져버린다."
"따뜻한개소리","4.5","0","0","언젠간.. 이게 남의 일이 아니겠지"
"승!","4.0","0","0","씁쓸함. 자유. 그 사이 어딘가"
"박평식 평론가 봇","3.5","0","0","참혹해도 존중할 수밖에"
"kjs","4.5","0","0","늙음과 죽음의 불가피함이라는 간명한 사실이 애달픈 사랑의 완성이 되어 윤회한 그 자리에, 그저 앉아서 바라만 보는 나."
"kimmovie","4.0","0","0","사랑하는 사람에게 매일 달라지는 것이 고통의 크기뿐이라면 그 사람을 보살피는 것이 과연 그 사람이 원하는 사랑일까?

더 이상 아프지 않게 생을 멈추게 하는 것도, 그리고 나의 생을 멈추게 하는 것도, 모든 생이 떠나간 싸늘한 공간을 찾아오는 것도 모두 사랑의 마음.

지금까지 본 영화들 중에서 가장 보고 싶지 않았던, 볼 수 없었던 살인 장면.

길고 고요한 테이크들을 가져가면서 몰입감을 놓치지 않게, 감정적으로 격동시키지도 않게 만드는 고급진 연출."
"호안","4.0","0","0","죽음이 드리운 이들을 둘러싼 보편적 고뇌에 대한 숙고를 자아낸다."
"배지환","4.0","0","0","그럼에도 외투를 입혀주고 벗겨줄 수 있다는 것이 사랑인 것 같다."
"원지","4.0","0","0","노부부의 마지막 신의"
"unaola","4.5","0","0","나도 힘들어, 라고 말하는 순간:"
"홍준교","3.5","0","0","늙어간다는 것을 있는 그대로 보여준 영화"
"신거니","5.0","0","0","놀랍도록 건조하고 냉철하게 묻는다. ""이래도 사랑할 수 있어?"""
"sonatine","5.0","0","0","슬프다 조용하고 잔잔하게 가슴속에 들어와 스며든다 사랑이 이런 것 일까"
"이하나","4.0","0","0","사랑받을 때의 고통."
"영화일기장","4.0","0","0","어떤 세계의 종말을 목도하다."
"박박짖어","4.5","0","0","조르쥬는 당신과 지낸 인생이 재밌었다고 꽃으로 전했고 안느는 조르쥬를 데리러오며 답장했다."
"화광","3.5","0","0","캐슬픔
건강하게 오래 사세요"
"무웅취","3.5","0","0","이 영화와 결말이 어떤가에 대한 의견은 내가 판단해도 될지"
"정현수","4.5","0","0","사랑이란 무엇인지, 어떻게 생겨나는지 그려내는 영화는 많지만 대부분 사랑의 종말을 직시하지 않는다. 마치 그 끝이 아름답지만 않다는 것을 아는 것처럼..."
"노네임","4.0","0","0","숨 막히는 체험"
"하동영","4.5","0","0","무력한 육신과 잔인한 삶과 숭고한 사랑에 대하여"
"전망좋은 밭","4.0","0","0","아름답고 긴 인생을 살았다는데, 뭐 더 할말이 있을까."
"장연준","3.5","0","0","이런 영화를 보는 건 너무 고역이다"
"TYK","4.0","0","0","마침내 모든 문을 환하게 열어 맞이하는 죽음

남편은 작품 내내 문을 닫으려 노력한다. 찾아오는 죽음을
막고자.

그러나 죽음은 어디론가 들어오는 비둘기처럼 계속해서 그들에게 다가온다.

그것을 인정한 그는 결국 모든 문을 열고 아내와 함께 영원한 외출을 선택한다."
"막강","3.0","0","0","늙는게 싫다.이젠 두렵다 죽는게 무서운게 아니고
나란 존재가 없어진다는게 무섭다"
"윤병석","4.0","0","0","인생은 길고 영화는 그 삶을 담기에 짧지만, 끝과 동시에 처음으로 돌아오게 된다."
"Snuff","4.5","0","0","보면서 내가 이걸 봐야만 하는 타당한 이유를 계속해서 찾았었다. 하네케 영화니까 어떻게든 눈뜨고 계속 지켜보게되는 것 말고, 이 고통스러운 우리들의 미래에 대해서 생각해야 되는 이유 말이다.

그들은 방안에 갇혀서 자신들이 어떤 고통에 처해있는지 알리기를 거부한다. 타인의 고통에 공감을 하는 태도나 치유하기를 바라는 태도는 그것이 진실되었다고 하더라도 용납되지  않는다.
그러면 우리는 어떠한 태도를 취해야 하는가? 우리들의 장례식에서는 그 어떤 행동도 용납되지 않는데 무슨 무운을 빌며, 무슨 슬픔을 나눈다는 것인가?

사랑은 항상 상실과 애도를 꿈꾼다. 키르케고르는 말했다. ""두 사람이 사랑에 빠져 서로를 위해 태어났다고 느끼기 시작할 때가 곧 그들이 헤어질 때이다. 왜냐하면 그들은 계속 사랑함으로써 모든 것을 잃고 아무것도 얻지 못할 것이기 때문이다.""
밀턴의 <실낙원>에서도 이와 유사한 반응이다.

기쁨이 영원히 머무는 행복한 들판이여 잘 있거라
공포여 환영하노라, 음부여 환영하노라,
그대 심오한 지옥이여 그대의 새 주인을 맞으라.
장소와 시간에 변치 않을 마음을 지닌 자이니라.
마음은 자신의 장소이며 그곳에서는
지옥을 천국으로, 천국을 지옥으로 만들 수 있으니,
내가 여전히 똑같다면 장소가 문제겠는가•••?

만일 자신이 흐르지 않는 시간에서, ""내가 여전히 똑같다면"", 우리에게 <아무르>는 포르노그래피일 것이다. 하지만 우리는 똑같지 않고 결코 다시는 똑같아지지 않을 것이다.
르네상스란 시간이 제거되어 있는 낭만이고, 바로크는 그러한 낭만에 대한 불안이며 상실에 대한 애도일 것이다.

<아무르>에서의 바로크는 세 단어로 ""아파"", ""미안해"", ""용서해""라는 반복되는 말이다. <아무르>는 여기서 낙원을 회복시키기 위해 시간을 제거한다. 과거로 피신하려는 반복에 대한 강박은 수사하며 밀폐하며 미라로 박제시킨다. 하지만 이러한 짓도 단지 한 위대한 인간에 의해서만 가능한 조건이다.
사랑에 대한 상실을 겪은 우리이며, 애도를 하는 우리이며, 낭만을 기억하며 시간이 흐르는 것을 막는 우리이다.

평범하게 이 영화를 봐야하는 이유는 존재하지 않는다. 로맨스 드라마를 보는 우리의 당위는 낭만이 아니며, 낭만 이후의 ""아파"", ""미안해"", ""용서해""라는 말을 듣기 위해서, 우리가 겪을 낭만 이후의 상실에 대한 지혜로운 대처를 습득해야 되기 때문이다.

대신에 다른 방법도 가능하다. 가볍게 만나기, 덜 사랑하려고 노력하기. 빛이나지는 않지만, 위대한 인간은 될 수 없지만, 비극은 없다. 빛을 보려는 인간에게는 항상 대가가 따른다."
"jwonmaeng","5.0","0","0","[영언이] 12주차, 영상 서사의 구조. 서사(narrative) = story + discourse"
"소정","5.0","0","0","사랑으로 보살피는 죽음의 과정"
"L&P","4.5","0","0","영화 통째로 느린 흐름인데, 더 느리게 가길 바랐다가, 아니다 차라리 그냥 빨리 지나가길 .. 바라기도 했다. 결말 전까지 계속 뒤집히는 내 마음 ㅠ 실제였어도 그럴 것 같아서 …"
"답니","4.5","0","0","인간은 위대해봤자 겨우 자연물이지만, 존엄성에 큰 의미를 둔다는 점에서 참 특이하다..

영화 감상 후에 나는 머리만 복잡했지, 노화 병마 또는 죽음 중에 단 하나도 피해가지도 못할 겨우 자연 생물 주제에 무려 착잡해졌다.

혹시 저런 모습이 내가 그리던 순애인가? 설마 나는 저토록 처절한 사랑을 받고 싶은가? 나의 존엄을 지키기 위해서 어디까지, 언제까지 이기적으로 굴어도 되는걸까? 내 신체가 더이상 건강하지 않게 될 때, 내 유서엔 어떤 내용을 적어야할까? 만약에 부모님이 아픈데 병원 치료를 거부한다면 난 어떤 선택을 해야하나? 그리고 내가 배우자를 선택할 때 이 영화를 떠올리면서 심사숙고할 미래를 잠시나마 엿봤다. 그리고 안락사를 선택하는 사람들의 심정을 잠시나마 이해하게 됐다.

내가 사랑하는 사람들 모두 영원히 건강하고 무병장수 하지 않으면 내가 진짜 가만안둬 개빡친다 내 허락 없이 영원히 죽지도 말고 아프지도 마 아무도. 사랑하는 이와의 헤어질 결심은 오로지 나만이 할 수 있어. 으어어앙"
"JHSK2","3.5","0","1","이거 보고 고독사 하기로 했다."
"유남쌩","4.5","0","0","인생은 멈춰있는 것에서 시작하여 다시 멈춰지기까지의 긴 과정이다. 한 순간도 다른 얘기로 피할 수 없으며 현실에 계속 직면하게 된다. 이런 순간을 인터뷰하듯 조용히 관조하며 생의 가치를 떠올리게 하는 영화가 '아무르'다."
"cypress","4.0","0","0","갑자기 안느가 멈췄을 때, 정말 무서웠다. 내 반평생 이상을 함께한 배우자가 갑자기 그런다면...감히 상상할 수도 없었다."
"문현지","보고싶어요","0","0","ㅉㅃ"
"최영석뿌잉","4.5","0","0","나를 위해, 너를 위해, 사랑을 위한 타살."
"asnvp","4.5","0","0","너무나도 현실적이라 미래를 마주하는 것이 두려워질 정도"
"정용헌","3.5","0","0","나로써 살아있는것과 그저 살아있는것의 차이. 내가 사랑했던 너라는 사람이 점점 희미해져갈때 우린 어떤 기로에 서게 될까"
"정원철","5.0","0","0","죽음을 통해 내가 배웠던 것들이 그대로 영화에 담겨있었다 평생 기억하고 돌아볼 것 같은 영화"
"스스","4.0","0","0","마음이너무힘들다......"
"경우","4.0","0","0","사랑은 잔인하다"
"오페이","1.0","0","0","알츠하이머 걸린 할머니와 그 남편의 이야기. 감동이 있는 것도 아니고, 많은 생각을 들게 하는 그런 교육적인 영화도 아니다. 누구라도 한 번 상상해봤을 법한 그런 뻔하디 뻔한 스토리와 전개이기 때문이다. 영화를 본 시간이 아깝다.

그리고 차라리 죽일 거면 연탄불이라도 피워주지. 베개로 눌러 살해라니... 죽고 싶다 할 때는 못 죽게 하더니 그저 싸이코패스가 따로 없다.

그리고 개인적인 생각을 첨언하자면 뇌는 육신 그 자체다. 뇌가 망가진 삶은 더이상 존속 의미가 없다. 고로 내가 치매에 걸린다면 조금이라도 정신 말짱할 때 마지막으로 배우자, 가족, 친구들을 만나 즐거운 시간을 가지고 이후에 스스로 목숨을 끊을 거다. 주변 사람들한테도 공공연하게 말했다.

그리고 안락사가 합법적으로 부분적 허용이 되어야 한다. 그게 인간의 존엄성을 해치치 않는 하나의 방법이다."
":B","5.0","0","0","맞는 선택이 있을까? 있다면
상대방이 원하는 것이 맞는 선택 아닐까.
그럼에도 불구하고 씁쓸하다..."
"Soo Park","2.0","0","0","분위기는 좋은데 아내의 패악질이 자세히 나오기도 전이라 그런지 결말에 공감하기 어려웠다. 그리고 오프닝과 마지막이 이어지지 않아 이해할 수 없었다."
"대컨","4.5","0","0","눈물 쏟으며 보는 공포 영화"
"이유","4.0","0","0","어느 누구에게나 일어날 수 있기에 너무나도 잔인하지 않은가."
"먹짱","4.0","0","0","밤하늘에 수놓은 별빛 아래 흐르는 사랑의 강물, 언제나 그 위를 부표하는 꽃송이들."
"민병준","4.0","0","0","너무나 사실적이어서 거부감이 들었던 작품.. 초반의 엄청난 지루함이 힘이되어 후반부에 숨막힐듯한 집중력을 만들게 하는 작품. 영화를 보며 느끼는 지루함 조차 인생을 담아낸 중요한 순간이라는 것을 느끼게 한 작품
그래서 점수를 낮게 줄 수 없는 작품"
"한얼","4.5","0","0","구의 증명"
"로튼토마토","4.5","0","0","93"
"반추","5.0","0","0","좋은 이야기란 복잡하고 거창한 이야기가 아니란 걸 보여주는 좋은 예"
"gtakiller","4.0","0","0","먼 훗날 마주하게 될 그 현실을 적나라하게 보여준다
아프지 말자.."
"멜랑콜리","5.0","0","0","어떤 선택을 할 것인가. 삶, 죽음, 사랑, 이별, 시간, 인생의 기로에서."
"약쟁이무무","4.5","0","0","울었다"
"silver","5.0","0","0","피아노와 수많은 책이 꽂혀있는 서재가 있고 아픈 와중에도 신문과 책을 놓치 않는 지성인 조차도 단 5퍼센트의 차이로 불의의 사고와 노화로 죽는것이 낫겠다는 수치심과 아픔을 겪는게 현실적인 인생이다. 많은 기억과 추억들은 사진처럼 아름답게 남겨있지만 어찌보면 참으로 길어보이는게 인생인것 같다. 무슨 잘못을 하는것도 아니고 착해서도의 문제가 아닌 창문의 비둘기가 무심코 들어 오듯이 자연스러운 현상이라고 말하는것 같다. 이해 못하는 불친절한 ""아직"" 젊은 이들도 곧 겪고 앞으로의 우리도 겪을 수많은 삶들은 이래 왔었다라고 말하는것 같다."
"이수빈","4.5","0","0","사랑하는 가족이 무너져가는 모습을 지켜보는걸 잘 표현했다."
"be","4.0","0","0","세월이 흘러 이 영화를 다시 보게 될 날이 두렵고 기대된다."
"아는것을모르는","4.5","0","0","세상에서 가장 무서운 영화"
"사람","4.0","0","0","사람의 시작과 끝은 같다."
"정다빈","5.0","0","0","나의 행복은 내가 사랑하는 사람이 행복할 때 느낄 수 있다."
"단비남친","3.5","0","0","사랑하는 사람이 늙고 병든다는 것은.."
"푸른 하늘보다도","0.5","0","0","시간은 흐르기 때문에, 인간은 기억하기 때문에 애초에 슬픔은 정해져 있었다."
"김진서","4.5","0","0","마음을 산산조각낸다"
"rcknollnflm","5.0","0","0","-

영화를 볼 때, 보통 관객은 영화 속으로 들어가 그것이 보여주는 광경들을 체험하지만, 어떤 영화는 관객의 삶 속으로 천천히 걸어들어와 결국 그 일부가 된다. 미하엘 하네케의 <아무르>는 그런 영화다.

프랑스 파리에 사는 노년의 부부 조르주(장-루이 트란티냥)와 안느(엠마뉘엘 리바)는 풍족하진 않지만 평화로운 삶을 살고 있다. 그러던 어느 날 안느의 건강이 악화되면서 부부의 삶에도 위기가 찾아온다.

다 보고 나면, 과연 이 이야기를 특정한 무엇으로 규정할 수 있을까. 지고지순한 사랑 이야기로 볼 수도 있을 테고 끝에 가서 (그것이 어떤 의미를 지니고 있던 간에) 결국 살인을 저지르는 살인범에 대한 이야기로도 받아들일 수 있을 테다. 하지만 삶의 참혹한 풍파를 견뎌내려 안간힘쓰는 이 이야기 속에 깊이 자리 잡은 것은 결국 끝까지 인간의 존엄을 지켜내려는 안간힘이고, 지독하리만큼 아름다운 황혼의 로맨스다.

기품 넘치면서도 무자비한 이 작품은 수년간 함께 해온 노부부의 모습을 담지만 그들이 걸어온 과거의 시간들의 족적을 단 한번도 뒤돌아보는 적이 없다. 영화 극초반부의 어느 장면을 제외하고 나면 두 사람의 공간은 프랑스 파리의 어느 한 가정집 내부로 한정된다. (극중 조르주가 장례식에 참석하거나 장을 보러 외출하는 등의 묘사가 있긴 하지만 영화는 끝내 그 집 밖의 풍경은 비추지 않는다. 하네케 감독은 그런 답답함과 고립감을 강조하기 위해 외부와 연결되는 유일한 문인 창문에 마저 커튼을 쳐놓아 바깥 세계와의 연결을 일절 차단하였다.) 집을 보면 그 사람이 보인다는 옛말처럼, <아무르>가 보여주는 공간의 풍경은 외부로부터 외로이 고립된 채 노년의 시간과 싸우는 부부의 모습과 닮았다.

<아무르>의 오프닝은 영화의 엔딩과 접목되는 방식으로 짜여졌다. 경찰이 현관문을 부수고 들어와 악취가 진동하는 집의 창문을 열고 외부와 철저하게 단절되어진 공간의 문을 열면 죽은 여인의 시체를 마주하게 되고, <아무르>의 타이틀이 검은 바탕 위로 나타났다가 사라진다. 그러나 달콤한 제목과는 반대로, 여기에 과연 사랑이 남아있을까. 혹여 그렇다 하더라도 아주 짧은 시간 동안 머물렀다 떠나간 건 아닐까. 악취와 그림자를 드리운 커튼, 차가운 색조와 죽음의 풍경은 사랑과는 거리가 먼 무언가가 아니였던가. 하지만 곧바로 스크린에 비춰지는 Amour(사랑)이라는 제목이 방증하듯 사랑의 증인은 싸늘한 시체가 되어 누워있지만 그곳엔 아직 사랑의 흔적이 남아있다.

이제 관객이 해야 하는 일은 희미하게나마 남아있던 그 사랑의 흔적을 되짚어보는 것이다. 여인의 미스터리와 함께 시작한 오프닝이 끝나고 난 뒤 비춰지는 것은 텅 빈 객석에 관객들이 하나둘 들어와 그 자리를 모두 채우는 광경이다. 그곳엔 분명 안느와 조르주도 있었지만 카메라는 관객 개개인에게는 아무 관심도 없다는 듯 클로즈업이나 줌으로 그들의 모습을 비추지 않는다. 그렇다면 그들이 보고 있는 것은 무엇이었을까. 영화 맥락상 그것은 오래전 안느의 제자였던 알렉상드르(알렉상드르 타로)의 피아노 공연이었다. 하지만 영화를 이루는 가장 큰 요소인 시각과 청각 중 하나가 배제되어있는 상황에서, 그들이 무엇을 본 것인지는 한없이 불확실해진다. (하네케 감독은 그때 그것이 피아노 연주였다는 사실조차 영화가 한참 진행된 후의 시점에 알게 함으로써 영화 속 정보를 모호하게 하였다.)

관객은 그저 관객일 뿐이지만, 그 관객을 촬영하는 카메라와 그렇게 촬영한 영상이 투영되는 스크린은 관객석을 비추는 거울이 된다."
"리을","4.0","0","0","모든 순간이 사랑인
슬픔

230103"
"루까","4.0","0","0","우리 같이 피웠던 꽃이잖아."
"한성호","3.5","0","0","아이러니하게도, 저렇게 늙고 싶다는 생각을 한다.

어쩌면 남자의 선택은, 또 다른 사랑의 방식이었을지도. 또 다른 사랑이었을지도. 내가 하고 있는 사랑을 다시 한 번 돌아보게 만든다."
"악개","4.0","0","0","삶의 마지막 순간은 참 슬프다
내가 사랑하는 사람들은 편안하게 갔으면 좋겠다"
"양반김","4.0","0","0","인간의 마지막엔 선택지가 별로 없는 것 같다.
어떤 마지막이 될까. 좋은건 별로 없을듯 하다."
"정연","3.5","0","0","좋으면 꽃을, 싫으면 별을 그렸다지
당신 가는길엔 꽃을, 편지에 담아"
"책먹소","보고싶어요","0","0","이동진평론가 별점4.5점
유튜브《라이프플러스》 추천"
"이은비","5.0","0","0","집에 들어온 비둘기를 잡아 가만히 안아주던 조르주, 포획이 아닌 포옹. 떠나보낸 그녀의 온기를 잠깐이라도 느끼고 싶었던 걸까"
"별하늘","5.0","0","0","그 순간까지도 같은 마음이었기에. [5강]"
"양민","5.0","0","0","비둘기를 끓어안음에서 나타나는 포기와 후회."
"이진욱","5.0","0","0","와닿았다. 사랑, 그리고 배우자에 대한 애뜻함이 드러나는 감동적인 플롯."
"빵떡","3.0","0","0","사랑은 사랑인데 이제 프랑스를 섞은"
"이하평","4.5","0","0","왜 벌써"
"으랏차","5.0","0","0","나 그댈 위해 준비했던
많은 것들을 감사하며
부질없어도 행복했던
기억만큼은 간직할게요."
"영추남","4.5","0","0","강요하지 않지만 그 무엇보다 가슴을 울린다."
"김아름","4.5","0","0","깊고도 무거운 사랑으로 지켜주려고 했던 당신의 기품과 존엄"
"Lois Song","4.0","0","0","가엾은 내 사랑 빈 집에 갇혔네"
"헐리우드키드2","2.5","0","0","20231105
프랑스 예술영화임을 모르고 본 영화.
피아니스트 알렉산드라 타로의 출현을 기대하고, 클래식 아티스트에 관한 주제인줄 알고 편안한 마음으로 보았으나, 인간의 죽음앞에 얼마나 나약한 존재임을 일깨워 준 프랑스식 아트무비"
"한현주","4.0","0","0","이토록 보통의"
"장극하","4.5","0","0","평범하고 지루한 초중반 때문에 그 정도의 영화인가 싶었는데
너무 좋았다.
어쩔 수 없는 상황에도 삶을 지속하는 이유"
"렉시턴의 유령","5.0","0","0","나도 모르게 처음부터 사로잡혔다…
당신 오늘 아름답다고 내가 얘기 했었나…"
"염진혁","3.5","0","0","죽음을 기다리는 일은 지루한 일"
"{        }","4.5","0","0","사랑의 두려움이 불러일으키는 죽음
삶의 두려움이 불러일으키는 죽음"
"김민수","4.0","0","0","노인의 시간과 공간을 따라 죽음을 마주하게 되는데 자기 자신을 죽일뿐만 아니라 타인에게서도 죽도록 만든다는 점이 가장 비극적인 부분으로 느껴진다

근데 딸 왜이렇게 열받지"
"셔니","3.5","0","0","고요하고 묵직한, 감히 평가하기 힘든 영화"
"신정민","4.5","0","0","사랑했기에 할 수 밖에 없었던 선택"
"WatchaPedia","4.0","0","0","넌 내게 말했지. 날 위해 죽을수도, 죽일수도 있다고.
알아 나도 언제나 같은 마음이야.
아마도 우린 오래, 아주 오래 함께 할거야."
"작은눈노래","3.5","0","0","삶, 젊음과 늙음, 죽음이 그리는 비대칭."
"김성해","3.5","0","0","주인공들의 모습처럼 영화의 진행은 느리다.
다큐멘터리 영화를 보듯 진행은 느릿느릿하다.
하지만 고요한 태풍이 매섭듯 느린 진행속에 감정의 소용돌이 매우 격하다.
내딛는 한 걸음걸음이 무겁고 또 버겁다.
23년 9월 17일."
"준준","5.0","0","0","자연의 법칙에는 동정심 같은게 없다"
"수원살쾡이","5.0","0","0","존엄하게 죽을 수 있게 해주는 인생의 동반자. 죽음이 있기에 삶이 소중하다."
"김다현","4.0","0","0","힐링하려고 봤다가 밤에 무서워서 잠도 못 잠;; 다들 저 선한 제목과 포스터에 낚이지 마세요"
"강청완","5.0","0","0","코트를 입혀주는 것도
베개를 덮는 것도 사랑"
"바리스타","3.5","0","0","슬픈 인생사 결말이네"
"정욱","1.5","0","0","ㅠㅠ"
"Charles Ok","4.5","0","0","살아 보고 나니 별거 아니었고
살고 나서 보니 놓기 쉬운 우리의 인생"
"영화는 취향순","2.5","0","0","하네케 감독 나랑 안맞음"
"Ha","4.0","0","0","우리가 알아야 할 것은 감독은 이 영화를 통해 무언가를 주장하려 하거나 설명하려 들지 않는다는 것이다. 우리 모두가 언젠가는 겪게 될, 노쇠로부터 비롯되는 고통과 비극을 한 노부부를 통해 그저 여과없이 보여줄 뿐이니."
"상필","4.0","0","0","장례식에서의 불쾌한 위화감과 병원에서의 고독함을 경험해 본 나에게는 노부부의 감정선이 개인적으로 확 와닿는 지점이 몇 군데 있었다"
"강차백","4.0","0","0","사랑은 열린 문"
"박지영","4.5","0","0","곱씹을수록 가슴이 미어진다."
"김현기","4.5","0","0","사랑했기 때문에 차마 바라만 볼 수 없었고,
사랑하기 때문에 더욱 직시해야만 했다.

이것은 마치 고통이라는 이름의 토양에 사랑이라는 이름의 씨앗이 심어진 후에 일어나는 일."
"김은희","3.5","0","0","누구도 피해갈수 없는 미래..ㅠㅠ"
"DA WON","4.0","0","0","- 믿기 힘들겠지만, 벌써 두 번이나 집에 비둘기가 들어왔어. 그런데 그냥 놔줬어.

죽음의 순간이 예기치 못하게 반복적으로 다가왔고, 고통으로부터 해방되어 그녀는 세상 밖으로 나아갔다. 그리고 남은 것은 공허함, 그 뿐이었다.

누군가가 떠올라 울컥하기도 하고,
어떠한 모습이 그려져 쓸쓸하기도 했다.

그리고 다가올 미래일까 싶었던 두려움이 가장 컸다."
"김원빈","4.5","0","0","광명속 어떠한 첨언도 무의미하다"
"강민종","3.5","0","0","엔딩에서 숨이 멎는줄 알았다"
